TimeStamp,YearsExperience,DevelopmentType,ProgrammingLanguages,CompanySize,WorkLocation,SuperivisionRole,WorkOutsideMainJob,CityLive,CityWork,Sex,NetSalary
7/24/2020 0:47:03,1-3,"Backend, Frontend","Python, JavaScript",11-50,At the employer,No,No,Athena,,Man,16000
7/24/2020 18:59:42,1-3,Backend,"Java, Apex",501+,Remote,No,No,Thessaloniki,Thessaloniki,Man,10276
7/24/2020 23:53:34,1-3,"Mobile apps, Desktop apps","Java, Python, Kotlin",501+,At the employer,Yes,No,Athena,,Man,20000
7/25/2020 11:27:12,1-3,Frontend,"JavaScript, html, css",<10,At the employer,No,Yes,Athena,Athena,Man,8000
7/25/2020 12:28:39,1-3,Frontend,PHP,<10,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,7150
7/25/2020 13:07:59,6-10,"Backend, Frontend","Java, JavaScript, PHP",<10,Both,Yes,Yes,Athena,Athena,Man,14000
7/25/2020 17:47:07,1-3,"Backend, Frontend",Java,<10,At the employer,No,No,Athena,,Man,17000
7/25/2020 18:26:33,11+,"Backend, Frontend","Java, C#",501+,At the employer,No,No,Athena,Athena,Man,19700
7/25/2020 21:26:15,1-3,Frontend,"JavaScript, PHP",501+,At the employer,No,Yes,Athena,Athena,Man,11000
7/26/2020 0:40:11,11+,"Backend, Frontend",PHP,501+,At the employer,No,Yes,Athena,Athena,Man,21700
7/26/2020 12:53:54,1-3,Cybersecurity,"Java, C, C++, C#, Python, Assembly",11-50,At the employer,No,No,Athena,,Man,25000
7/26/2020 22:39:56,4-5,Cybersecurity,"C, C++, Assembly",101-200,At the employer,Yes,Yes,Athena,,Man,40000
7/27/2020 14:17:46,4-5,Frontend,angular,201-500,Both,Yes,Yes,Athena,Athena,Man,19000
7/27/2020 16:39:10,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,13500
7/27/2020 16:40:38,1-3,Mobile apps,"Java, Kotlin",11-50,At the employer,No,No,Athena,,Man,14500
7/27/2020 16:41:50,1-3,"Backend, Desktop apps","Java, Python",<10,At the employer,No,No,Athena,,Man,15300
7/27/2020 21:20:01,1-3,"Backend, Frontend","JavaScript, PHP",11-50,Remote,No,Yes,Serres,Athena,Man,12000
7/28/2020 13:05:55,1-3,Frontend,JavaScript,11-50,Both,No,Yes,Athena,Athena,Man,7200
7/28/2020 13:40:52,4-5,"Backend, Frontend","JavaScript, PHP, Ruby",11-50,Remote,No,No,Karlskrona,Stockholm,Man,63000
7/28/2020 14:15:57,I'm not working yet,Desktop apps,JavaScript,<10,Both,No,Yes,Athena,Athena,Man,16500
7/28/2020 15:27:49,1-3,"Mobile apps, Gaming",C#,11-50,Remote,No,No,Patras,Patras,Man,11.20€
7/28/2020 15:44:26,1-3,"DevOps, Backend, Frontend",C#,<10,Both,No,No,Athena,Athena,Man,9000
7/28/2020 17:05:34,1-3,Backend,Java,501+,Both,Yes,Yes,Athena,Athena,Man,15000
7/28/2020 17:49:24,1-3,Backend,Java,11-50,At the employer,No,No,Athena,,Man,16000
7/28/2020 18:36:34,I'm not working yet,Desktop apps,"Python, JavaScript",11-50,At the employer,Yes,Yes,Athena,Athena,Man,8000
7/28/2020 21:52:04,4-5,"Backend, Frontend","PHP, Node.js",11-50,At the employer,No,No,Athena,Athena,Man,15600
7/28/2020 22:35:57,1-3,Backend,"Java, JavaScript",501+,Both,No,No,Athena,Athena,Man,9400
7/29/2020 0:31:53,1-3,DevOps,"C, Python, Ruby, Go, Bash",51-100,At the employer,No,No,Athena,,Man,18000
7/29/2020 14:54:39,1-3,Backend,Java,<10,At the employer,No,No,Athena,,Man,17000
7/29/2020 16:11:29,1-3,Backend,Avaloq,51-100,Both,No,Yes,Bratislava,Bratislava,Man,18.6
7/29/2020 16:34:32,I'm not working yet,"DevOps, Backend, Frontend","JavaScript, PHP",<10,Remote,No,Yes,London,London,Man,0000000
7/29/2020 17:28:17,1-3,Frontend,JavaScript,101-200,At the employer,No,Yes,Athena,Athena,Man,14700
7/29/2020 21:04:17,1-3,Mobile apps,"Java, Kotlin",<10,At the employer,Yes,Yes,Athena,,Man,18000
7/29/2020 21:08:04,1-3,"DevOps, Desktop apps","Java, C, Python",11-50,At the employer,No,No,Athena,,Man,17500
7/29/2020 21:15:40,1-3,Backend,Java,51-100,At the employer,Yes,Yes,Athena,,Man,19000
7/29/2020 21:16:26,I'm not working yet,"Backend, Mobile apps",Java,101-200,At the employer,No,Yes,Athena,,Man,18500
7/30/2020 0:49:51,1-3,DevSecOp,"C, Python, Ruby, Go",101-200,At the employer,No,No,Athena,,Man,20000
7/30/2020 18:19:03,1-3,Backend,"JavaScript, PHP",<10,At the employer,Yes,No,Kozani,Kozani,Man,7800 (suddenly)
7/30/2020 18:59:53,4-5,"DevOps, Backend","Java, C, Python, Go",51-100,At the employer,Yes,No,Athena,,Man,23000
7/30/2020 19:05:16,4-5,"Backend, Frontend","Java, Python",201-500,At the employer,Yes,Yes,Athena,,Man,30000
7/30/2020 19:05:56,6-10,"Backend, Desktop apps",Java,11-50,At the employer,Yes,No,Athena,,Man,26000
7/30/2020 19:08:20,4-5,DevOps,"C, Python, Ruby, Go",51-100,At the employer,Yes,No,Athena,,Man,27000
7/30/2020 19:09:24,6-10,"Backend, Mobile apps, Desktop apps","Java, Python, Kotlin",101-200,At the employer,Yes,Yes,Athena,,Man,35000
7/30/2020 21:01:18,1-3,Mobile apps,Java,11-50,At the employer,Yes,,Thessaloniki,,,16000
7/30/2020 23:24:32,1-3,Backend,JavaScript,501+,Both,No,No,Thessaloniki,Thessaloniki,Man,9000
7/31/2020 14:23:49,6-10,Backend,Java,501+,At the employer,Yes,No,Athena,,Man,40000
7/31/2020 14:24:52,11+,"Backend, Desktop apps",Java,201-500,At the employer,Yes,No,Athena,,Man,45000
7/31/2020 14:40:25,1-3,"Backend, Desktop apps",Python,11-50,At the employer,No,No,Athena,,Man,15500
7/31/2020 14:41:24,1-3,DevOps,"C, Python, Ruby, Go",101-200,At the employer,No,No,Athena,,Man,16000
7/31/2020 14:42:23,4-5,"DevOps, Backend","Java, Python, Go",51-100,At the employer,No,No,Athena,,Man,17000
7/31/2020 18:00:09,1-3,Mobile apps,"Java, Kotlin",11-50,At the employer,No,No,Athena,,Man,15000
7/31/2020 23:47:55,1-3,AI / ML,"Java, Python",51-100,At the employer,No,No,Athena,,Man,18500
7/31/2020 23:49:48,1-3,"Backend, Frontend",Java,501+,At the employer,No,No,Athena,,Man,17000
7/31/2020 23:51:28,1-3,DevSecOp,"C, Python, Ruby, Go, Bash, Perl",51-100,At the employer,No,No,Athena,,Man,20000
7/31/2020 23:53:33,1-3,Penetration Testing,"C, C++, Python, JavaScript, Assembly",101-200,At the employer,No,Yes,Athena,,Man,21000
8/1/2020 0:10:48,4-5,AI / ML,Python,201-500,At the employer,Yes,No,Athena,,Man,25000
8/1/2020 14:48:01,4-5,Mobile apps,"Java, Kotlin",201-500,At the employer,No,No,Athena,,Man,23000
8/1/2020 14:48:43,1-3,DevOps,"Python, Ruby, Go",101-200,At the employer,No,No,Athena,,Man,18500
8/1/2020 14:51:21,1-3,"Backend, Desktop apps",Java,201-500,At the employer,Yes,No,Athena,,Man,45000
8/1/2020 14:55:27,1-3,Backend,Java,11-50,At the employer,No,No,Athena,,Man,15500
8/1/2020 15:02:37,1-3,Mobile apps,Kotlin,101-200,At the employer,No,No,Athena,,Man,16000
8/1/2020 21:51:18,1-3,DevOps,"Python, Ruby, Go, Perl",501+,At the employer,No,No,Athena,,,18500
8/1/2020 21:54:04,1-3,Cybersecurity,"C, C++, Python, Assembly",101-200,At the employer,No,No,Athena,,Man,21000
8/1/2020 21:55:15,11+,"Backend, Mobile apps, Desktop apps","Java, Python, JavaScript, Kotlin",201-500,At the employer,Yes,No,Athena,,Man,50000
8/1/2020 21:57:12,1-3,"Mobile apps, Desktop apps",Java,101-200,At the employer,No,No,Athena,,Man,17500
8/1/2020 21:58:02,4-5,Backend,Python,101-200,At the employer,No,No,Athena,,Man,22000
8/2/2020 12:03:26,1-3,Backend,Java,<10,At the employer,No,Yes,Athena,,Man,13000
8/2/2020 12:05:34,4-5,DevOps,"C, Python, Ruby, Go",201-500,At the employer,No,No,Athena,,Man,17000
8/2/2020 12:06:24,6-10,Mobile apps,"Java, Kotlin",501+,At the employer,Yes,No,Athena,,Man,25500
8/2/2020 12:07:54,1-3,"Backend, Frontend","Java, Python",101-200,At the employer,No,No,Athena,,Man,18000
8/2/2020 12:26:26,1-3,Desktop apps,Java,51-100,At the employer,No,No,Athena,,Man,12500
8/2/2020 19:17:23,1-3,"Mobile apps, Desktop apps","Java, Kotlin",101-200,At the employer,No,Yes,Athena,,Man,16000
8/2/2020 20:43:04,1-3,"Mobile apps, Desktop apps",Java,101-200,At the employer,No,No,Athena,,Man,15000
8/2/2020 21:40:23,1-3,Backend,Java,51-100,At the employer,No,No,Athena,,Man,15500
8/2/2020 22:46:53,1-3,DevOps,"Python, Ruby, Bash",201-500,At the employer,No,No,Athena,,Man,17000
8/3/2020 0:10:30,1-3,Backend,Java,501+,At the employer,No,No,Athena,,Man,19000
8/3/2020 1:00:37,4-5,"Backend, Frontend","Java, Python, JavaScript",11-50,At the employer,No,No,Athena,,Man,21000
8/3/2020 14:24:49,1-3,Backend,Java,101-200,At the employer,No,No,Athena,,Man,16500
8/3/2020 14:56:40,4-5,Mobile apps,"Java, Kotlin",51-100,At the employer,Yes,No,Athena,,Man,18000
8/3/2020 15:41:24,1-3,"DevOps, Desktop apps",Python,<10,At the employer,No,No,Athena,,Man,15500
8/3/2020 16:33:06,1-3,"Mobile apps, Desktop apps","Java, Kotlin",11-50,At the employer,No,No,Athena,,Man,17000
8/3/2020 16:46:38,4-5,Backend,Java,201-500,At the employer,No,No,Athena,,Man,17500
8/3/2020 17:01:22,6-10,"Backend, Frontend, Mobile apps","Java, Python, JavaScript, Kotlin",51-100,At the employer,Yes,No,Athena,,Man,27000
8/3/2020 17:54:54,1-3,Backend,Java,501+,At the employer,No,No,Athena,,Man,16500
8/3/2020 18:44:14,11+,"Backend, Desktop apps",Java,51-100,At the employer,Yes,No,Athena,,Man,50000
8/3/2020 19:20:04,1-3,"Mobile apps, Desktop apps","Python, Kotlin, Ruby",101-200,At the employer,No,No,Athena,,Man,16000
8/3/2020 19:36:42,1-3,Backend,Python,51-100,At the employer,No,No,Athena,,Man,15500
8/3/2020 21:02:13,4-5,Backend,Python,201-500,Both,Yes,No,Athena,Athena,Man,25000
8/3/2020 22:40:02,1-3,Backend,"Java, C++",51-100,At the employer,No,No,Athena,,Man,17000
8/3/2020 22:54:04,1-3,"Backend, Frontend","Java, JavaScript",101-200,At the employer,No,No,Athena,,Man,17500
8/4/2020 0:17:51,1-3,"Backend, Mobile apps",Java,11-50,At the employer,No,No,Athena,,Man,16800
8/4/2020 1:22:58,1-3,DevOps,"C, Python, Delphi / Object Pascal, Go",11-50,At the employer,No,No,Athena,,Man,17000
8/4/2020 1:44:42,4-5,Backend,Java,<10,At the employer,No,No,Athena,,Man,19000
8/4/2020 1:52:31,1-3,Backend,Java,11-50,At the employer,No,No,Athena,,Man,17000
8/4/2020 10:33:07,11+,Desktop apps,C,501+,Both,No,Yes,Athena,Athena,Man,1200
8/4/2020 10:44:21,1-3,Mobile apps,Kotlin,11-50,At the employer,No,No,Athena,,Man,16500
8/4/2020 11:00:04,1-3,Desktop apps,"Java, C++",51-100,At the employer,No,No,Athena,,Man,17000
8/4/2020 11:23:16,4-5,Backend,Java,201-500,At the employer,No,No,Athena,,Man,20000
8/4/2020 11:58:48,1-3,"Mobile apps, Desktop apps","Java, C#",11-50,At the employer,No,No,Athena,,Man,17500
8/4/2020 12:32:01,6-10,Backend,"Visual Basic .NET, Ruby, Go",501+,At the employer,Yes,No,Athena,,Man,30000
8/4/2020 13:44:12,1-3,Desktop apps,"Java, JavaScript",51-100,At the employer,No,No,Athena,,Man,15500
8/4/2020 14:05:36,4-5,DevOps,Visual Basic .NET,101-200,At the employer,No,No,Athena,,Man,18500
8/4/2020 14:55:03,6-10,"Backend, Frontend","Java, Python, JavaScript",11-50,At the employer,Yes,No,Athena,,Man,28000
8/4/2020 15:13:18,4-5,Mobile apps,"Java, Kotlin",11-50,At the employer,No,No,Athena,,Man,20000
8/4/2020 16:14:09,1-3,"Mobile apps, Desktop apps","Java, Kotlin, Ruby",51-100,At the employer,No,No,Athena,,Man,16000
8/4/2020 16:53:34,4-5,Backend,Java,11-50,At the employer,No,No,Athena,,Man,21000
8/4/2020 17:30:43,1-3,Backend,Java,11-50,At the employer,No,No,Athena,,Man,16000
8/4/2020 17:59:59,1-3,Backend,Python,51-100,At the employer,No,No,Athena,,Man,17000
8/4/2020 19:15:30,11+,"DevOps, Backend, Frontend, Mobile apps, Desktop apps","Java, Python, JavaScript",<10,Remote,No,No,Athena,Athena,Man,60000
8/4/2020 20:54:12,4-5,AI / ML,"Java, Python, R, Scala",51-100,At the employer,No,Yes,Athena,,Man,30000
8/4/2020 21:21:27,1-3,Cybersecurity,"C, C++, Python, JavaScript, Assembly",101-200,At the employer,No,No,Athena,,Man,25000
8/4/2020 21:40:27,1-3,Backend,Java,<10,At the employer,No,No,Athena,,Man,18000
8/4/2020 22:26:19,1-3,Backend,Java,11-50,At the employer,No,No,Athena,,Man,15000
8/4/2020 23:11:50,4-5,DevOps,"Python, Ruby, Go",201-500,At the employer,No,No,Athena,,Man,20500
8/4/2020 23:37:27,1-3,"DevOps, Backend","Java, Python",<10,At the employer,No,No,Athena,,Man,16500
8/5/2020 0:01:44,1-3,Desktop apps,"Java, JavaScript",11-50,At the employer,No,No,Athena,,Man,15000
8/5/2020 0:18:00,1-3,Mobile apps,Kotlin,101-200,At the employer,No,No,Athena,,Man,14500
8/5/2020 10:55:04,1-3,Backend,Java,101-200,At the employer,No,No,Athena,,Man,16300
8/5/2020 11:05:08,4-5,Mobile apps,Kotlin,51-100,At the employer,No,No,Athena,,Man,18500
8/5/2020 12:07:29,1-3,Backend,C#,501+,At the employer,Yes,No,Athena,,Man,12400
8/5/2020 12:10:17,1-3,"Backend, Frontend","Java, JavaScript",201-500,Both,No,Yes,Athena,Athena,Man,11000
8/5/2020 12:12:49,1-3,Databases,PL/SQL,51-100,Both,No,Yes,Athena,Athena,Man,10000
8/5/2020 12:18:52,1-3,"Backend, Frontend","Java, Python, JavaScript",101-200,At the employer,No,No,Athena,,Man,16700
8/5/2020 12:20:23,4-5,"Backend, Frontend","JavaScript, PHP",11-50,Both,Yes,Yes,Patras,Patras,Man,19.6
8/5/2020 12:34:19,1-3,Backend,"Java, JavaScript",201-500,At the employer,No,Yes,Athena,Athena,Man,9800
8/5/2020 12:36:24,6-10,"Backend, Frontend","JavaScript, PHP",<10,Remote,Yes,No,Patras,Athena,Man,1500
8/5/2020 12:55:55,1-3,"DevOps, Backend",JavaScript,<10,Remote,No,Yes,Heraklion,Cambridge,Man,860 for 32 hours per week
8/5/2020 13:04:00,1-3,"Backend, Frontend",Java,201-500,Both,No,No,Janina,Janina,Man,13532
8/5/2020 13:08:17,1-3,Backend,"C#, Python, JavaScript",51-100,At the employer,No,Yes,Thessaloniki,Thessaloniki,Man,700
8/5/2020 13:38:24,4-5,Backend,"Java, C",201-500,Both,No,No,Athena,Athena,Man,18500
8/5/2020 13:59:27,1-3,Mobile apps,Java,11-50,At the employer,No,No,Athena,,Man,17200
8/5/2020 14:14:13,1-3,DevOps,"Python, Ruby, Go, Bash",201-500,At the employer,No,No,Athena,,Man,17300
8/5/2020 14:22:00,I'm not working yet,"Backend, Frontend","JavaScript, PHP",<10,At the employer,No,No,Thessaloniki,Thessaloniki,Man,"11,200"
8/5/2020 14:25:23,4-5,"Backend, Frontend",Java,11-50,At the employer,No,No,Athena,,Man,20000
8/5/2020 14:47:47,1-3,AI / ML,Python,11-50,At the employer,No,Yes,Athena,,Man,21500
8/5/2020 14:58:11,4-5,Cybersecurity,"C, Python, Assembly",51-100,At the employer,No,No,Athena,,Man,35000
8/5/2020 15:21:02,6-10,"Backend, Desktop apps",Java,11-50,At the employer,No,No,Athena,,Man,23000
8/5/2020 15:23:35,1-3,Frontend,"Python, JavaScript, PHP, R",<10,Remote,No,Yes,Janina,Thessaloniki,Woman,16
8/5/2020 15:31:02,4-5,DevOps,"Python, Go, Bash",501+,At the employer,No,No,Athena,,Man,23000
8/5/2020 15:36:33,1-3,Backend,C#,101-200,Both,No,Yes,Athena,Athena,Man,11.9
8/5/2020 15:47:45,6-10,"DevOps, Mobile apps","C++, Python",11-50,Both,Yes,Yes,Heraklion,Heraklion,Man,30.00€
8/5/2020 15:57:40,1-3,Backend,Java,<10,At the employer,No,No,Athena,,Man,15800
8/5/2020 16:28:19,1-3,Backend,Java,101-200,At the employer,No,No,Athena,,Man,16000
8/5/2020 16:37:33,1-3,"Backend, Frontend","JavaScript, PHP",51-100,Both,No,No,London,London,Man,44000
8/5/2020 17:12:36,4-5,Backend,PHP,51-100,Both,No,No,Malmö - Sweden,,Man,66000
8/5/2020 17:26:25,1-3,Desktop apps,"Java, C#",201-500,At the employer,No,No,Athena,,Man,16200
8/5/2020 18:18:05,4-5,"Backend, Frontend","Python, JavaScript, PHP",<10,Both,No,Yes,Thessaloniki,Thessaloniki,Man,9500
8/5/2020 18:24:09,I'm not working yet,Frontend,"JavaScript, PHP, Visual Basic",<10,Remote,No,No,Thessaloniki,Thessaloniki,Woman,4500
8/5/2020 18:31:51,4-5,DevOps,"Python, Bash",51-100,At the employer,No,No,Athena,,Man,18500
8/5/2020 19:34:04,1-3,Backend,Java,101-200,At the employer,No,No,Athena,,Man,16200
8/5/2020 20:44:20,1-3,Backend,Python,<10,At the employer,No,Yes,Athena,Athena,Man,750 * 14
8/5/2020 20:51:09,11+,"DevOps, Backend, Data ETLs","Python, PHP, Salesforce APEX (Java)",51-100,Remote,No,Yes,Athena,Athena,Man,21000
8/5/2020 21:21:36,1-3,Backend,"C, C++, TCL",501+,At the employer,No,Yes,Athena,Athena,Man,17120
8/6/2020 0:25:38,1-3,Backend,Java,51-100,At the employer,No,No,Athena,,Man,17100
8/6/2020 0:27:06,1-3,Desktop apps,Java,<10,At the employer,No,No,Berlin,Berlin,Man,19500
8/6/2020 1:12:49,1-3,DevOps,"Python, Ruby",11-50,At the employer,No,No,Athena,,Man,17000
8/6/2020 2:37:05,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,15700
8/6/2020 10:41:28,1-3,"Backend, Frontend","C#, JavaScript",11-50,At the employer,No,No,Janina,Janina,Man,12000
8/6/2020 14:08:12,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,15000
8/6/2020 14:55:35,4-5,"Backend, Mobile apps","Java, Kotlin",<10,At the employer,Yes,No,Athena,,Man,18000
8/6/2020 15:47:54,1-3,Backend,Java,501+,At the employer,No,No,Athena,,Man,16900
8/6/2020 16:21:05,6-10,"Backend, Frontend","Java, PHP",101-200,At the employer,Yes,No,Athena,,Man,30000
8/6/2020 17:37:38,11+,Backend,Java,201-500,At the employer,Yes,No,Athena,,Man,48000
8/6/2020 18:19:58,1-3,Backend,Java,501+,At the employer,No,No,Athena,,Man,14800
8/6/2020 19:51:43,1-3,Mobile apps,Kotlin,201-500,At the employer,No,No,Athena,,Man,16200
8/6/2020 20:17:37,1-3,Backend,PHP,51-100,At the employer,No,No,Athena,Athena,Man,16800
8/6/2020 20:55:29,1-3,Mobile apps,"Java, Kotlin",51-100,At the employer,No,No,Athena,,Man,16000
8/6/2020 21:05:55,4-5,Desktop apps,Java,<10,At the employer,No,No,Athena,,Man,17500
8/6/2020 22:25:24,1-3,"Backend, Frontend","Python, JavaScript",11-50,At the employer,No,No,Athena,,Man,15000
8/6/2020 23:57:07,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,14800
8/7/2020 0:27:57,4-5,AI / ML,"Python, JavaScript, PHP",<10,Both,No,Yes,Janina,Janina,Man,850
8/7/2020 1:09:02,4-5,"Backend, Frontend","Java, Python",11-50,At the employer,No,No,Athena,,Man,18200
8/7/2020 2:05:29,4-5,"Backend, Frontend",Java,51-100,At the employer,No,No,Athena,,Man,19500
8/7/2020 2:17:02,1-3,"Mobile apps, Desktop apps",Java,11-50,At the employer,No,Yes,Athena,,Man,15300
8/7/2020 3:04:30,4-5,DevOps,"Python, Ruby, Go",201-500,At the employer,No,No,Athena,,Man,18400
8/7/2020 12:43:11,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,15300
8/7/2020 13:00:03,4-5,Backend,Java,11-50,At the employer,No,No,Athena,,Man,19500
8/7/2020 13:29:14,6-10,Mobile apps,"Java, Kotlin",101-200,At the employer,Yes,No,Athena,,Man,27300
8/7/2020 15:18:42,6-10,DevOps,"Python, Ruby, Go, Bash",501+,At the employer,Yes,No,Athena,,Man,31000
8/7/2020 17:17:50,1-3,Backend,Java,101-200,At the employer,No,No,Athena,,Man,14900
8/7/2020 19:47:06,1-3,Mobile apps,"Java, Kotlin",11-50,At the employer,No,No,Athena,,Man,15300
8/7/2020 20:06:30,6-10,Mobile apps,Kotlin,101-200,At the employer,No,No,Athena,,Man,18400
8/7/2020 20:22:04,1-3,Desktop apps,"JavaScript, Node.js",<10,At the employer,No,No,Athena,,Man,14700
8/7/2020 20:58:47,1-3,DevOps,"Python, Bash",11-50,At the employer,No,No,Athena,,Man,16700
8/7/2020 21:59:09,1-3,Backend,Java,501+,At the employer,No,No,Athena,,Man,17400
8/8/2020 0:11:43,1-3,Mobile apps,Java,51-100,At the employer,No,No,Athena,,Man,15900
8/8/2020 1:04:39,1-3,"Backend, Frontend","Python, JavaScript",11-50,At the employer,No,No,Athena,,Man,17200
8/8/2020 1:55:39,1-3,Backend,Java,<10,At the employer,No,No,Athena,,Man,18000
8/8/2020 11:50:10,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,15600
8/8/2020 12:03:33,4-5,Mobile apps,Kotlin,51-100,At the employer,Yes,No,Athena,,Man,19700
8/8/2020 12:25:20,1-3,"Backend, Frontend","Java, JavaScript",11-50,At the employer,No,No,Athena,,Man,16200
8/8/2020 12:49:32,1-3,"DevOps, Backend, Frontend","Python, JavaScript",51-100,At the employer,No,Yes,Athena,Athena,Man,7000
8/8/2020 13:26:12,6-10,"DevOps, Backend, Desktop apps","Java, Python",11-50,At the employer,Yes,No,Athena,,Man,31700
8/8/2020 13:54:18,1-3,Frontend,JavaScript,101-200,At the employer,No,Yes,Athena,,Man,13500
8/8/2020 14:32:06,11+,Backend,Java,201-500,At the employer,Yes,No,Athena,,Man,53000
8/8/2020 15:12:53,1-3,DevOps,"Python, Go, Bash",101-200,At the employer,No,No,Athena,,Man,16900
8/8/2020 15:47:41,1-3,Desktop apps,Java,501+,At the employer,No,No,Athena,,Man,16800
8/8/2020 16:50:23,4-5,Backend,Java,11-50,At the employer,No,Yes,Athena,,Man,18200
8/8/2020 18:23:18,1-3,Mobile apps,Kotlin,11-50,At the employer,No,No,Athena,,Man,17400
8/8/2020 18:56:53,4-5,DevOps,"C, Python, Bash",201-500,At the employer,No,No,Athena,,Man,20500
8/8/2020 19:37:22,6-10,Mobile apps,"Java, Kotlin",11-50,At the employer,Yes,No,Athena,,Man,29300
8/8/2020 20:08:20,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,16500
8/8/2020 21:13:30,1-3,DevOps,"Python, Bash",201-500,At the employer,No,No,Athena,,Man,16200
8/8/2020 21:42:25,4-5,"Backend, Frontend","Java, JavaScript",101-200,At the employer,No,No,Athena,,Man,22000
8/8/2020 22:21:12,1-3,Desktop apps,Java,<10,At the employer,No,No,Athena,,Man,14300
8/9/2020 1:12:39,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,14800
8/9/2020 13:31:31,1-3,Backend,Java,101-200,At the employer,No,No,Athena,,Man,15200
8/9/2020 13:43:02,4-5,Desktop apps,Java,11-50,At the employer,Yes,No,Athena,,Man,17800
8/9/2020 15:23:09,1-3,Mobile apps,"Java, Kotlin",101-200,At the employer,No,No,Athena,,Man,16700
8/9/2020 15:41:31,6-10,AI / ML,"Python, R, Scala",51-100,At the employer,Yes,No,Athena,,Man,36000
8/9/2020 16:00:51,1-3,DevOps,"Python, Go",101-200,At the employer,No,No,Athena,,Man,16600
8/9/2020 17:05:01,1-3,Mobile apps,Java,11-50,At the employer,No,No,Athena,,Man,15100
8/9/2020 18:04:34,1-3,Backend,Java,101-200,At the employer,No,No,Athena,,Man,15000
8/9/2020 18:56:54,4-5,Backend,Java,201-500,At the employer,Yes,No,Athena,,Man,19600
8/9/2020 21:04:41,11+,Backend,Java,201-500,At the employer,Yes,No,Athena,,Man,54000
8/9/2020 22:05:39,1-3,Backend,Java,11-50,At the employer,No,No,Athena,,Man,15700
8/10/2020 3:08:10,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,15800
8/10/2020 16:24:51,1-3,DevOps,"Python, Ruby, Bash",201-500,At the employer,No,No,Athena,,Man,17500
8/10/2020 17:38:26,4-5,Backend,Java,11-50,At the employer,Yes,No,Athena,,Man,21000
8/10/2020 18:26:06,6-10,"Backend, Frontend","Java, JavaScript",51-100,At the employer,Yes,No,Athena,,Man,18600
8/10/2020 19:09:25,4-5,Mobile apps,Kotlin,11-50,At the employer,No,No,Athena,,Man,19600
8/11/2020 0:14:14,4-5,Backend,"Java, Python",101-200,At the employer,No,No,Athena,,Man,16200
8/11/2020 2:28:49,4-5,Mobile apps,"Java, Kotlin",201-500,At the employer,No,No,Athena,,Man,18700
8/11/2020 3:59:11,1-3,"Backend, Frontend","Java, JavaScript",11-50,At the employer,No,No,Athena,,Man,17800
8/11/2020 12:49:16,6-10,Backend,"JavaScript, Ruby",101-200,At the employer,No,No,Athena,Athena,Man,22500
8/11/2020 14:21:06,1-3,Backend,Java,11-50,At the employer,No,No,Athena,,Man,15400
8/11/2020 15:25:59,4-5,Backend,Java,101-200,At the employer,Yes,No,Athena,,,22000
8/11/2020 17:34:37,1-3,Mobile apps,Java,11-50,At the employer,No,No,Athena,,Man,15600
8/11/2020 18:29:52,4-5,"Backend, Frontend","Java, JavaScript",51-100,At the employer,Yes,No,Athena,,Man,23200
8/11/2020 19:39:31,4-5,"DevOps, Desktop apps","Java, Python, Bash",51-100,At the employer,No,No,Athena,,Man,21700
8/11/2020 20:22:10,6-10,"Backend, Frontend","Java, Python, JavaScript",201-500,At the employer,Yes,No,Athena,,Man,23000
8/11/2020 20:51:10,6-10,DevOps,"Python, Ruby, Go, Perl, Bash",501+,At the employer,Yes,No,Athena,,Man,28000
8/11/2020 22:12:22,1-3,Desktop apps,Java,<10,At the employer,No,No,Athena,,Man,15000
8/12/2020 0:22:42,1-3,"Mobile apps, Desktop apps",Java,11-50,At the employer,No,No,Athena,,Man,15800
8/12/2020 1:33:35,6-10,Mobile apps,"Java, Kotlin",201-500,At the employer,Yes,No,Athena,,Man,30600
8/12/2020 2:03:21,11+,"Backend, Frontend","Java, JavaScript",501+,At the employer,Yes,No,Athena,,Man,57000
8/12/2020 15:21:36,1-3,Backend,Java,201-500,At the employer,No,No,Athena,,Man,16200
8/12/2020 16:17:03,4-5,"Backend, Frontend","Java, JavaScript",51-100,At the employer,No,No,Athena,,Man,20800
8/12/2020 17:21:59,6-10,Mobile apps,Kotlin,201-500,At the employer,Yes,No,Athena,,Man,27200
8/12/2020 18:25:44,1-3,DevOps,"Python, Ruby, Bash",101-200,At the employer,No,No,Athena,,Man,16700
8/12/2020 19:23:50,4-5,"Mobile apps, Desktop apps",Java,11-50,At the employer,No,No,Athena,,Man,19400
8/13/2020 2:49:47,1-3,DevOps,"Python, Bash",101-200,At the employer,No,No,Athena,,Man,16000
